Year,Car,Model,Kilometers,Fuel,Transmission,City Code,Price
2017,Tata,Tiago ,65.43k,Petrol,Manual,RJ-14,₹3.36 lakh
2017,Hyundai,Elite i20,93.60k,Petrol,Manual,RJ-14,₹4.50 lakh
2019,Hyundai, SANTRO,33.70k,Petrol,Auto,RJ-45,₹3.64 lakh
2023,Hyundai, I20,39.60k,Petrol,Manual,RJ-27,₹6.38 lakh
2018,Maruti,Swift ,98.79k,Petrol,Auto,RJ-45,₹4.60 lakh
2024,Renault,Kiger ,10.67k,Petrol,Auto,RJ-60,₹6.65 lakh
2021,Hyundai, I20,37.24k,Petrol,Manual,RJ-45,₹4.80 lakh
2022,Hyundai,GRAND I10,58.83k,Petrol,Manual,RJ-10,₹3.64 lakh
2021,Maruti,Alto ,47.68k,CNG,Manual,RJ-09,₹2.58 lakh
2023,Maruti,Swift ,35.96k,Petrol,Manual,RJ-45,₹5.93 lakh
2016,Maruti,Alto 800,55.76k,Petrol,Manual,RJ-17,₹1.78 lakh
2021,Ford, Figo,83.11k,Petrol,Manual,RJ-45,₹3.51 lakh
2023,Renault,Kiger ,29.32k,Petrol,Manual,RJ-16,₹4.78 lakh
2014,Maruti,Wagon R,44.45k,Petrol,Manual,RJ-14,₹2.35 lakh
2023,Hyundai,EXTER ,1.1l,Petrol,Manual,RJ-02,₹4.76 lakh
2019,Hyundai,Elite i20,83.24k,Petrol,Manual,RJ-44,₹4.10 lakh
2020,Volkswagen,Polo ,70.36k,Petrol,Manual,RJ-27,₹3.96 lakh
2023,Hyundai, I20,16.46k,Petrol,Auto,RJ-20,₹6.90 lakh
2021,Tata,Tiago ,1.4l,Petrol,Manual,RJ-40,₹3.29 lakh
2015,Hyundai,Eon ,68.94k,Petrol,Manual,RJ-14,₹2.05 lakh
2017,Maruti,Wagon R,60.87k,Petrol,Manual,RJ-14,₹2.90 lakh
2021,Maruti,Alto ,74.35k,CNG,Manual,RJ-20,₹3.25 lakh
2018,Hyundai,Elite i20,69.94k,Petrol,Manual,RJ-20,₹3.97 lakh
2019,Hyundai,Elite i20,50.16k,Petrol,Manual,RJ-45,₹4.19 lakh
2017,Maruti,Wagon R,56.73k,Petrol,Auto,RJ-05,₹2.76 lakh
2021,Tata,ALTROZ ,93.15k,Diesel,Manual,RJ-27,₹5.85 lakh
2020,Hyundai,Elite i20,38.72k,Petrol,Manual,RJ-02,₹5.10 lakh
2017,Hyundai,Grand i10,80.36k,Petrol,Manual,RJ-13,₹3.18 lakh
2019,Hyundai,Elite i20,66.23k,Petrol,Manual,RJ-45,₹4.40 lakh
2022,Tata,TIAGO NRG,32.60k,CNG,Auto,RJ-19,₹5.95 lakh
2019,Tata,Tiago ,44.98k,Petrol,Manual,RJ-45,₹3.45 lakh
2019,Hyundai,Grand i10,36.78k,Petrol,Manual,RJ-45,₹3.70 lakh
2019,Maruti,IGNIS ,84.14k,Petrol,Auto,RJ-45,₹4.20 lakh
